id,phoneme,time,duration,F0,F1,F2,F3
92,U,99.48869114287388,0.061155208606664006,115.34322788546173,266.19989730487384,1708.107499249943,2754.030143764137
93,E,101.27202569692803,0.11748237442859,135.8516802487925,522.2338584712032,1881.221176913821,2590.726289302853
94,5,101.532072755995,0.043988834260944,133.2846943851332,390.4912722042228,1699.97963052304,2768.1475875418205
95,\~i,103.35650078599802,0.14805997873192206,168.3207423308548,325.1205004286464,1971.149559566751,2820.644985186665
96,\~i,105.533778747984,0.06920194658123101,165.074517796876,352.9682278935907,2341.8075591263228,2826.960983644437
97,U,105.76052480165197,0.050426224640589,136.78233212792915,313.43678605458217,1540.2180451803504,2498.6571648591416
98,a,107.51817436523599,0.123383315609928,137.16836731333976,779.0207748501415,1501.0348262447615,2342.030611087908
99,5,107.771976568691,0.036478545484683995,139.85663581124675,380.3752088891967,1735.76033542019,2746.9235591217403
100,a,109.49258997085099,0.09763375409134802,130.32456197320718,756.1555429450897,1542.9472263150196,2300.901945370548
101,5,109.74815290156403,0.049889775442281,130.344426102405,440.11875146869926,1689.779003915904,2789.3420305350323
102,i,111.565604842787,0.07081129417613902,170.7765604573554,326.9417578453005,2161.566409131139,2830.4133174168096
103,U,111.75550726979799,0.038624342277885,155.42761337478402,296.26305284582224,1533.253406584885,2265.4594749000426
104,a,113.60061921944599,0.11319078084215996,135.5572339699158,767.5290580378627,1470.7952955560058,2534.613648674839
105,U,113.853155989737,0.043452385062636,136.7999058403598,262.636610338497,1651.534351945152,2655.2177845930064
106,\~o,115.671059820747,0.12821135839467998,149.74891314713793,626.3591257287127,1015.6243796889537,2842.3516092626255
107,U,115.833129211292,0.036478545484683995,150.41994642101776,315.55093309199276,1634.29268210472,2394.7516388756176
